ADDRESS1,ZIPCODE2,CITY,STATE,LATITUDE,LONGITUDE,STOREID,PREFIX,duplicate,check
1595 Bedford Highway,B4A3Y4,Bedford,NS,45.1211,-72.9874,25165,1595 Bedfo,1,1
1595 Merivale Road,K2G3J4,Nepean,ON,45.3522,-75.7326,29098,1595 Meriv,0,0
1599 Cliffe Ave,V9N2K6,Courtenay,BC,49.6839,-124.993,21548,1599 Cliff,0,0
16 Beckwith Street S,K7A2A8,Smiths Falls,ON,44.8991,-76.0214,23904,16 Beckwit,0,0
16 Fergison Ave,P0L1Y0,Moosonee,ON,51.2746,-80.6385,21158,16 Fergiso,0,0
16 Harwood Avenue South,L1S7L8,Ajax,ON,43.8596,-79.0261,17379,16 Harwood,0,0
16 Lisa Street,L6T5R2,Brampton,ON,43.7125,-79.7269,22361,16 Lisa St,0,0
16 Murphy Square,A2H1R4,Corner Brook,NL,45.3851,-75.6784,21377,16 Murphy ,0,0
16 Seacliff Drive East,N8H2L2,Leamington,ON,36.975,-121.903,26271,16 Seaclif,0,0
160 Boulevard D'Anjou,J6K1C4,Chateauguay,QC,45.36,-73.7288,26221,160 Boulev,0,0
160 Cidermill Ave,L4K4H3,Concord,ON,43.8062,-79.5337,21743,160 Ciderm,0,0
160 Highland St,K0M1S0,Haliburton,ON,45.067,-78.5171,21085,160 Highla,0,0
160 Old Placentia Road,A1N4Y9,Mount Pearl,NL,47.5032,-52.8081,26286,160 Old Pl,0,0
160 QUEENSWAY E,N3Y0A8,Simcoe,ON,42.8477,-80.2864,21396,160 QUEENS,0,0
1600 15th Ave.,V2L3X3,Prince George,BC,53.9103,-122.741,13739,1600 15th ,0,1
"1600 15th Avenue, #107",V2L3X3,Prince George,BC,53.9101,-122.761,22047,1600 15th ,1,1
"1600 15th Avenue, #206",V2L3X3,Prince George,BC,53.9102,-122.758,26313,1600 15th ,1,1
1600 Boulevard Le Corbusier,H7S1Y9,Laval,QC,45.5618,-73.7316,20706,1600 Boule,0,1
1600 Boulevard Le Corbusier,H7S1Y9,Laval,QC,45.5618,-73.7316,23539,1600 Boule,1,1
1600 Boulevard Le Corbusier,H7S1Y9,Laval,QC,45.5618,-73.7316,24567,1600 Boule,1,1
1600 Boulevard Le Corbusier,H7S1Y9,Laval,QC,45.5623,-73.7314,25248,1600 Boule,1,1
1600 Boulevard Le Corbusier,H7S1Y9,Laval,QC,45.5635,-73.7307,17394,1600 Boule,1,1
1600 Boulevard Le Corbusier,H7S1Y9,Laval,QC,45.5637,-73.7308,24376,1600 Boule,1,1
1600 Boulevard Le Corbusier,H7S1Y9,Laval,QC,45.6066,-73.7124,22006,1600 Boule,1,1
1600 Boulevard Le Corbusier,H7S1Y9,Laval,QC,45.6193,-73.8467,22753,1600 Boule,1,1
1600 Boulevard Le Corbusier ,H7S1Y9,Laval,QC,45.5618,-73.7316,605251118011658,1600 Boule,1,1
1600 Boulevard Royal,G9N8S8,Shawinigan,QC,46.5531,-72.7504,27300,1600 Boule,1,1
1600 Kenaston Blvd,R3P0Y4,Winnipeg,MB,49.8231,-97.208,22689,1600 Kenas,0,0
1601 2nd Ave W,S6V5B7,Prince Albert,SK,53.1981,-105.76,24899,1601 2nd A,0,0
1601 Centre Street,T2E2S2,Calgary ,AB,51.0427,-114.067,608041250482896,1601 Centr,0,0
1601 Glen Hall Drive,S0K2A0,Humboldt,SK,52.2023,-105.127,608041250483261,1601 Glen ,0,0
1601 Quebec Ave.,S7K1V6,Saskatoon,SK,52.1486,-106.663,24836,1601 Quebe,0,0
16016 Fraser Hwy Unit 102,V4N0G3,Surrey,BC,45.4255,-75.692,605251118011590,16016 Fras,0,0
1604 The Queensway,M8Z1V1,Toronto,ON,43.6171,-79.5437,17665,1604 The Q,0,0
16041 24 Ave.,V3S9H7,Surrey,BC,49.0455,-122.802,21555,16041 24 A,0,0
16050 24 Ave Unit 115,V3Z0R5,Surrey,BC,NULL,NULL,608041250483196,16050 24 A,0,0
16061 Macleod Trail SE,T2Y3S5,Calgary,AB,51.0487,-114.058,608041250482108,16061 Macl,0,0
160A  boul. de Gaspe,G4X1A9,Gaspe,QC,56.1304,-106.347,23694,160A  boul,0,0
161 Bay Street,M5J2S1,Toronto,ON,44.9196,-79.375,20548,161 Bay St,0,0
161 Broadway St.,S0G1S0,Fort Qu Appelle,SK,50.7678,-103.796,24856,161 Broadw,0,0
161 Route 230 Ouest,G0R1Z0,La Pocatiere,QC,46.3745,-79.9346,25774,161 Route ,0,0
1610 Robson St,V6G1C7,VANCOUVER,,,,,1610 Robso,0,0
1615 Dundas St E,L1N2L1,Whitby,ON,43.8841,-78.9097,23684,1615 Dunda,0,1
1615 Dundas St E,L1N2L1,Whitby,ON,43.885,-78.9106,608041250482035,1615 Dunda,1,1
162 Leva Ave,T4E0A5,Red Deer,AB,44.3261,-76.1677,16556,162 Leva A,0,0
1622 Salt St,V5Y0E4,VANCOUVER,,,,,1622 Salt ,0,0
1624 Dundas St. E,L1N2K8,Whitby,ON,43.8804,-78.9398,608041250482671,1624 Dunda,0,0
1626 Grafton Street,B3J1J7,Halifax,NS,44.6452,-63.5732,608041250483503,1626 Graft,0,0
1632 14 Ave NW,T2N1M7,Calgary,AB,51.065,-114.099,608041250482887,1632 14 Av,0,1
1632 14 Ave NW,T2N1M7,Calgary,AB,51.0654,-114.1,23328,1632 14 Av,1,1
1632 14 Ave NW,T2N1M7,Calgary,AB,51.0661,-114.1,608041250482101,1632 14 Av,1,1
1632 14 Ave NW ,T2N1M7,Calgary,AB,51.0407,-114.099,29022,1632 14 Av,1,1
1632 14th Ave NW,T2N1M7,Calgary,AB,51.0654,-114.1,20911,1632 14th ,0,1
1632 14th Ave NW,T2N1M7,Calgary,AB,51.0654,-114.1,22388,1632 14th ,1,1
1632 14th Ave NW,T2N1M7,Calgary,AB,51.066,-114.102,24032,1632 14th ,1,1
1632 Jane St,M9N2R9,North York,ON,43.6905,-79.4977,608041250482975,1632 Jane ,0,0
1632 McKenzie Ave,V8N0A3,Victoria,BC,48.4691,-123.331,22077,1632 McKen,0,0
164 Broadway,N4G5A8,Tillsonburg,ON,42.8623,-80.7285,22399,164 Broadw,0,0
1640 Huron Church Rd,N9C2L1,Windsor,ON,42.2872,-83.0571,20595,1640 Huron,0,0
1642 Merivale Rd,K2G4A1,Nepean,ON,45.3455,-75.7317,20663,1642 Meriv,0,1
1642 Merivale Road,K2G4A1,Nepean,ON,45.3455,-75.7317,24676,1642 Meriv,1,1
1644 Hillside Ave,V8T2C5,Victoria,BC,48.4461,-123.336,608041250482063,1644 Hills,0,1
1644 Hillside Ave,V8T2C7,Victoria,BC,48.4461,-123.336,27336,1644 Hills,1,1
1644 Hillside Ave.,V8T2C5,Victoria,BC,48.4461,-123.336,23364,1644 Hills,1,1
1644 Hillside Avenue,V8T2C5,Victoria,BC,43.3422,-79.8255,20199,1644 Hills,1,1
1644 Hillside Avenue,V8T2C5,Victoria,BC,45.6031,-62.6374,20977,1644 Hills,1,1
1644 Hillside Avenue,V8T2C5,Victoria,BC,48.4461,-123.336,20193,1644 Hills,1,1
1644 Hillside Avenue,V8T2C5,Victoria,BC,48.4461,-123.336,22465,1644 Hills,1,1
1644 Hillside Avenue,V8T2C5,Victoria,BC,48.4461,-123.336,25181,1644 Hills,1,1
1644 Hillside Avenue,V8T2C5,Victoria,BC,48.4461,-123.336,29019,1644 Hills,1,1
1644 Laurier Street,K4K1K3,Rockland,QC,45.5467,-75.2947,608041250483419,1644 Lauri,0,0
1645A - 18th Street,R7A5C6,Brandon,MB,49.8243,-99.9601,26205,1645A - 18,0,0
165 Main Street,E1C1B3,Moncton,NB,46.4997,-67.5803,18580,165 Main S,0,0
165 N QUEEN ST,M9C1A7,Etobicoke,ON,43.6184,-79.5546,21265,165 N QUEE,0,0
1650 Davie St.,V6G1V9,VANCOUVER,,,,,1650 Davie,0,0
1655 Boulevard St-Martin O,H7S1N2,Laval,QC,45.5682,-73.7282,23538,1655 Boule,0,0
1656 Wyandotte St,N9B1H7,Windsor,ON,42.3184,-83.0203,608041250482537,1656 Wyand,0,0
166 Bentworth Avenue,M6A1P7,North York,ON,43.72,-79.4678,608041250483457,166 Bentwo,0,0
166 Conception Bay Highway,A1W1M9,Conception Bay South,NL,47.5173,-52.9626,18589,166 Concep,0,0
1660 Eglinton Ave. W,M6E2H2,Toronto,ON,43.6968,-79.4449,608041250483033,1660 Eglin,0,0
1665 KENASTON BLVD,R3P2M4,Winnipeg,MB,49.8252,-97.2021,21373,1665 KENAS,0,0
167 Keil Dr,N7M3H3,Chatham,ON,42.39,-82.2044,21706,167 Keil D,0,0
167 NORTH QUEEN STREET,M9C1A7,Etobicoke,ON,43.6173,-79.5571,12613,167 NORTH ,0,1
167 NORTH QUEEN STREET,M9C1A7,Etobicoke,ON,43.6173,-79.5571,27977,167 NORTH ,1,1
167 rue De La Reine,G4X2W6,Gaspe,QC,48.8405,-64.4875,21583,167 rue De,0,0
167 Trider Avenue,B3B1V6,Dartmouth,NS,44.7078,-63.5906,23847,167 Trider,0,0
1670 Kenaston Blvd Unit C,R3P2M6,Winnipeg,MB,49.6897,-83.6654,17498,1670 Kenas,0,0
1672 SE Marine Drive,V5P2R6,VANCOUVER,,,,,1672 SE Ma,0,0
1675 - 10th Line Road,K1E3P6,Orleans,ON,44.4373,-78.3224,22340,1675 - 10t,0,0
1675 Versatile Dr,V1S1W7,Kamloops,BC,50.6552,-120.388,20234,1675 Versa,0,1
1675 Versatile Drive,V1S1W7,Kamloops,BC,50.6552,-120.387,16553,1675 Versa,1,1
168 Rothesay Ave,E2J2B5,Saint John,NB,45.2879,-66.0452,28654,168 Rothes,0,0
1680 Pembina,R3T2G2,Winnipeg,MB,49.8291,-97.1512,16098,1680 Pembi,0,0
1680 RICHMOND ST,N6G3Y9,London,ON,43.0259,-81.2787,20610,1680 RICHM,0,1
1680 Richmond St N.,N6G3Y9,London,ON,43.0256,-81.2784,608041250482136,1680 Richm,1,1
1680 Richmond St N.,N6G3Y9,London,ON,43.0256,-81.2784,25146,1680 Richm,1,1
1680 Richmond St N.,N6G3Y9,London,ON,43.0261,-81.2795,22397,1680 Richm,1,1
1680 Richmond St N.,N6G3Y9,London,ON,43.0261,-81.2795,23957,1680 Richm,1,1
1680 Richmond St N.,N6G3Y9,London,ON,43.4367,-81.4973,24581,1680 Richm,1,1
1680 Richmond St N.,N6G3Y9,London,ON,43.4367,-81.4973,605251118011622,1680 Richm,1,1
1680 Richmond St. N,N6G3Y9,London,ON,43.0259,-81.2787,23245,1680 Richm,1,1
1680 Richmond Street,N6G3Y9,London,ON,43.0259,-81.2787,605251118011611,1680 Richm,1,1
1680 Richmond Street N.,N6G3Y9,London,ON,43.0259,-81.2787,20387,1680 Richm,1,1
1680 Richmond Street North,N6G3Y9,London,ON,43.0261,-81.2795,25081,1680 Richm,1,1
1680 Richmond Street North,N6G3Y9,London,ON,43.7292,-79.2956,20348,1680 Richm,1,1
16845 Highway 12,L4R0A9,Midland,ON,44.7289,-79.877,21421,16845 High,0,0
169 rue Principale,J0V1W0,Saint-Andre-Avellin,QC,45.3998,-72.7262,608041250483167,169 rue Pr,0,0
1690 Island Hwy,V9W2E5,Campbell River,BC,50.0328,-125.266,21518,1690 Islan,0,0
16940-127 ST NW,T6V1S8,Edmonton,AB,53.6318,-113.543,21207,16940-127 ,0,0
1695 Manning Road,N8N2L9,Tecumseh,ON,42.3064,-82.8707,21707,1695 Manni,0,0
1698 Powick Rd,V1X7G5,Kelowna,BC,43.593,-79.6428,22795,1698 Powic,0,0
17 Boul de la Cite des Jeunes 130,J7V0N3,Vaudreuil-Dorion,QC,45.4147,-74.0236,608041250482647,17 Boul de,0,0
17 Leslie Street,M4M3H9,Toronto,ON,43.6609,-79.3284,608041250482634,17 Leslie ,0,0
17 Newfoundland Walk,P5A1Z5,Elliot Lake,ON,46.383,-82.6459,21154,17 Newfoun,0,0
17 Queensway West,N3Y2M7,Simcoe,ON,42.8472,-80.3089,26344,17 Queensw,0,0
17 Worthington Ave.,L7A2Y7,Brampton,ON,43.6817,-79.8155,22378,17 Worthin,0,1
