,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
218,ROOFTOP,"1500 Avenue Atwater, Montréal, QC H3Z 1X5, Canada",ChIJoxc_YW0ayUwRTqbVIm96w0E,"1500 Atwater Ave,Montreal,QC,Canada,H3Z1X5",45.4895058,-73.5852657,1,H3Z 1X5,OK,street_address
219,ROOFTOP,"1500 Avenue Atwater, Montréal, QC H3Z 1X5, Canada",ChIJ0SZJXG0ayUwRJKif_0GP87Q,"1500 Atwater Ave,Montreal,QC,Canada,H3Z3C1",45.488805,-73.5859921,1,H3Z 1X5,OK,premise
220,ROOFTOP,"1500 Avenue Atwater, Montréal, QC H3Z 1X5, Canada",ChIJoxc_YW0ayUwRTqbVIm96w0E,"1500 Ave Atwater,Montreal,QC,Canada,H3Z1X5",45.4895058,-73.5852657,1,H3Z 1X5,OK,street_address
221,ROOFTOP,"1500 Avenue Jules-Verne, Québec, QC G2G 2R5, Canada",ChIJLSvPh1SXuEwRkEVwjq45SxA,"1500 Avenue Jules-Verne,Quebec,QC,Canada,G2G2R5",46.7816283,-71.345567,1,G2G 2R5,OK,subpremise
222,ROOFTOP,"1500 Bathurst St, York, ON M5P 3L3, Canada",ChIJ4UAqJXwzK4gRWVp7dwJKWJc,"1500 Bathurst Street,Toronto,ON,Canada,M5P3L3",43.6842481,-79.41908839999999,1,M5P 3L3,OK,premise
223,ROOFTOP,"1500 Cranbrook St N, Cranbrook, BC V1C 3S8, Canada",ChIJXZvQTK7YZFMRWnSdkJwUpVg,"1500 Cranbrook St North,Cranbrook,BC,Canada,V1C3S8",49.5248235,-115.7511836,1,V1C 3S8,OK,street_address
224,ROOFTOP,"1500 Cranbrook St N, Cranbrook, BC V1C 3S8, Canada",ChIJXZvQTK7YZFMRWnSdkJwUpVg,"1500 Cranbrook St North,Cranbrook,BC,Canada,V1C3S8",49.5248235,-115.7511836,1,V1C 3S8,OK,street_address
225,ROOFTOP,"1500 Cranbrook St N, Cranbrook, BC V1C 3S8, Canada",ChIJXZvQTK7YZFMRWnSdkJwUpVg,"1500 Cranbrook St. N,Cranbrook,BC,Canada,V1C3S8",49.5248235,-115.7511836,1,V1C 3S8,OK,street_address
226,ROOFTOP,"1500 Cranbrook St N, Cranbrook, BC V1C 3S8, Canada",ChIJXZvQTK7YZFMRWnSdkJwUpVg,"1500 Cranbrook St. N.,Cranbrook,BC,Canada,V1C3S8",49.5248235,-115.7511836,1,V1C 3S8,OK,street_address
227,ROOFTOP,"1500 Cranbrook St N #43, Cranbrook, BC V1C 3S8, Canada",EjY0MywgMTUwMCBDcmFuYnJvb2sgU3QgTiwgQ3JhbmJyb29rLCBCQyBWMUMgM1M4LCBDYW5hZGEiHhocChYKFAoSCV2b0Eyu2GRTEVp0nZCcFKVYEgI0Mw,"1500 Cranbrook Street North, Unit 43,Cranbrook,BC,Canada,V1C3S8",49.5248235,-115.7511836,1,V1C 3S8,OK,subpremise
228,ROOFTOP,"1500 Dundas St E, Mississauga, ON L4X 1L4, Canada",ChIJ8fD97PJHK4gRq3Po5XSdeNI,"1500 DUNDAS ST E,Mississauga,ON,Canada,L4X1L4",43.6106218,-79.578206,1,L4X 1L4,OK,street_address
229,RANGE_INTERPOLATED,"1500 Fisher St, North Bay, ON P1B, Canada",EiUxNTAwIEZpc2hlciBTdCwgTm9ydGggQmF5LCBPTiwgQ2FuYWRhIhsSGQoUChIJ5XzzY-uqKU0Rjecn-xJNY0wQ3As,"1500 FISHER ST,North Bay,ON,Canada,P1B2H3",46.3128806,-79.4427789,1,P1B,OK,street_address
