,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
32,RANGE_INTERPOLATED,"1000 Parkedale Ave, Brockville, ON K6V, Canada",EioxMDAwIFBhcmtlZGFsZSBBdmUsIEJyb2NrdmlsbGUsIE9OLCBDYW5hZGEiGxIZChQKEgmJ6JxTMQ_NTBE3ajLysUcEUhDoBw,"1000 Parkedale Ave,Brockville,ON,Canada,K6V3G9",44.6169587,-75.6813019,1,K6V,OK,street_address
33,ROOFTOP,"1001 Boulevard de Montarville, Boucherville, QC J4B 6P5, Canada",ChIJn9NmecgCyUwROvJfx5rd1p0,"1001 Boulevard De Montarville,Boucherville,QC,Canada,J4B6P5",45.5906184,-73.4332879,1,J4B 6P5,OK,street_address
34,ROOFTOP,"10020 102 Ave, Edmonton, AB T5J 4B7, Canada",ChIJy8z-YU8ioFMRl60IiqKzAlc,"10020 102 Avenue NW,Edmonton,AB,Canada,T5J2Z2",53.54349,-113.4917182,1,T5J 4B7,OK,street_address
35,ROOFTOP,"1005 Boulevard Laure, Sept-Îles, QC G4R 4S6, Canada",ChIJ63-cW9HfkUwRaktNCYrjEYM,"1005 boul. Laure,Sept-Iles,QC,Canada,G4R4S6",50.22633099999999,-66.39419149999999,1,G4R 4S6,OK,premise
36,RANGE_INTERPOLATED,"1005 Ottawa St N, Kitchener, ON N2A, Canada",EicxMDA1IE90dGF3YSBTdCBOLCBLaXRjaGVuZXIsIE9OLCBDYW5hZGEiGxIZChQKEgmBYB9QSIsriBG-yXzSda2POxDtBw,"1005 OTTAWA ST N,Kitchener,ON,Canada,N2A 1H2",43.4494707,-80.44553429999999,1,N2A,OK,street_address
37,ROOFTOP,"101 Boulevard Cardinal Léger, Pincourt, QC J7V 3Y3, Canada",ChIJU9H9HQBIyUwRSBDCZry7Y6Y,"101 boul. Cardinal-Leger,Pincourt,QC,Canada,J7V9T3",45.3847432,-73.99526399999999,1,J7V 3Y3,OK,premise
38,ROOFTOP,"101 Osler Dr, Dundas, ON L9H 4H6, Canada",ChIJHVvDOJaELIgR_nbRYl6sCNI,"101 Osler Dr,Dundas,ON,Canada,L9H4H4",43.2589644,-79.9434083,1,L9H 4H6,OK,street_address
39,ROOFTOP,"1015 Centennial Dr, Kingston, ON K7P 3B7, Canada",ChIJ8RMjJUis0kwRwxZmo9ExAOo,"1015 Centennial Dr,Kingston,ON,Canada,K7P3B7",44.26018,-76.56039249999999,1,K7P 3B7,OK,premise
40,ROOFTOP,"1015 Rue du Marché Central, Montréal, QC H4N 3J8, Canada",ChIJVbtuLfIYyUwRRq6VQszd5jg,"1015 Rue Du Marche Central,Montreal,QC,Canada,H4N3J8",45.5364736,-73.66021289999999,1,H4N 3J8,OK,premise
41,ROOFTOP,"10153 King George Blvd, Surrey, BC V3T 2W1, Canada",ChIJXTZJetTZhVQR9vUeCKl4eFg,"10153 King George Blvd,Surrey,BC,Canada,V3T2W1",49.1864648,-122.848401,1,V3T 2W1,OK,street_address
42,ROOFTOP,"102 Main St W, Listowel, ON N4W 1A2, Canada",ChIJQyB-OntdKYgRlPsVWFUAc0Y,"102 Main St West,Listowel,ON,Canada,N4W1A1",43.73131799999999,-80.9532349,1,N4W 1A2,OK,premise
43,ROOFTOP,"1029 Brodie Dr, Orillia, ON L3V 6H4, Canada",ChIJgW2b0zGvKk0RzCF4RCDb8Tw,"1029 Brodie Drive,Orillia,ON,Canada,L3V6H4",44.6320074,-79.4348181,1,L3V 6H4,OK,premise
44,ROOFTOP,"10304 109 St NW, Edmonton, AB T5J 1M3, Canada",ChIJw0OsfjYioFMRCtWtQTEi7ks,"10304 - 109th Street,Edmonton,AB,Canada,T5J1M3",53.5450015,-113.5097469,1,T5J 1M3,OK,premise
45,ROOFTOP,"10355 152 St, Surrey, BC V3R 7Z1, Canada",ChIJyaQNiGzXhVQRkv6_wHKFApQ,"10355 152nd St.,Surrey,BC,Canada,V3R1B9",49.18692249999999,-122.8044291,1,V3R 7Z1,OK,premise
